ART-1001,Abbruch / Entfernen alter Tapeten und Belaege,241111,m2,8.5,Maler
ART-1002,"Untergrund pruefen, Feuchtigkeit messen",342110,m2,4.5,Maler
ART-1003,Wand- und Deckenflaechen spachteln / glaetten,342120,m2,12.0,Maler
ART-1004,Risse armieren / Risssanierung Innen,342130,m,22.0,Maler
ART-1005,Grundieren der Untergruende (Tiefengrund),342210,m2,4.5,Maler
ART-1006,Isolieranstrich Fleckschutz (Nikotin/Spaeter),342220,m2,6.5,Maler
ART-1007,Innenanstrich Waende 2x matt (Dispersion),342310,m2,11.5,Maler
ART-1008,Deckenanstrich 2x weiss matt,342320,m2,12.5,Maler
ART-1009,Abkleben / Abdecken Boeden und Moebel,342330,m2,5.5,Maler
ART-1010,Alte Farbe abwaschen / abbeizen (Vorbereitung),342410,m2,14.5,Maler
ART-1011,Fensterlaibungen und Stuck profilieren,342510,m,12.0,Maler
ART-1012,Heizkoerper und Rohre abdecken / freistellen,342610,Stk,8.5,Maler
